ReviewID	SentenceID	Text	Tokens
363	363_0	The room deserves 5 star.	["The","room","deserves","5","star","."]
363	363_1	I absolutely enjoy the stay in this hotel.	["I","absolutely","enjoy","the","stay","in","this","hotel","."]
364	364_0	Luxury King Suite was awesome.	["Luxury","King","Suite","was","awesome","."]
364	364_1	The view was ok, not bad, but not fantastic.	["The","view","was","ok",",","not","bad",",","but","not","fantastic","."]
364	364_2	Would definitely stay here again, however may not pay to upgrade the room to include a ""view"".	["Would","definitely","stay","here","again",",","however","may","not","pay","to","upgrade","the","room","to","include","a","''","``","view","''","''","."]
365	365_0	Room was clean and very comfort.	["Room","was","clean","and","very","comfort","."]
365	365_1	We like the Grand Canal and had a lot of fun with my kids.	["We","like","the","Grand","Canal","and","had","a","lot","of","fun","with","my","kids","."]
367	367_0	Venetian was clean and comfortable.	["Venetian","was","clean","and","comfortable","."]
367	367_1	Close to monorail station and good overall location.	["Close","to","monorail","station","and","good","overall","location","."]
367	367_2	Only complaint is that the escalators for Las Vegas Blvd.	["Only","complaint","is","that","the","escalators","for","Las","Vegas","Blvd."]
367	367_3	entrance were not working and did not look that there was any intention to repair.	["entrance","were","not","working","and","did","not","look","that","there","was","any","intention","to","repair","."]
368	368_0	Big and beautiful rooms.	["Big","and","beautiful","rooms","."]
368	368_1	It is so big that it can get confusing at times.	["It","is","so","big","that","it","can","get","confusing","at","times","."]
368	368_2	We  stayed at the Venezia wing and we got lost many times because we either couldn't find our way out or our way to our room.	["We","stayed","at","the","Venezia","wing","and","we","got","lost","many","times","because","we","either","could","n't","find","our","way","out","or","our","way","to","our","room","."]
372	372_0	First time in Las Vegas and we went with one of the best hotels the strip had to offer.	["First","time","in","Las","Vegas","and","we","went","with","one","of","the","best","hotels","the","strip","had","to","offer","."]
372	372_1	Probably wouldn't ever downgrade from this hotel.	["Probably","would","n't","ever","downgrade","from","this","hotel","."]
372	372_2	It was amazing throughout the whole building.	["It","was","amazing","throughout","the","whole","building","."]
372	372_3	It was also great that it was connected to the Palazzo Hotel which made for even more things to do.	["It","was","also","great","that","it","was","connected","to","the","Palazzo","Hotel","which","made","for","even","more","things","to","do","."]
372	372_4	I wish I could go to Vegas every weekend and stay at this awesome hotel.	["I","wish","I","could","go","to","Vegas","every","weekend","and","stay","at","this","awesome","hotel","."]
373	373_0	The Venetian is a wonder resort and spa.	["The","Venetian","is","a","wonder","resort","and","spa","."]
373	373_1	The place had everything from shopping, dinning , entertainment.	["The","place","had","everything","from","shopping",",","dinning",",","entertainment","."]
373	373_4	It is a great place to vacation of experience a quick get away.	["It","is","a","great","place","to","vacation","of","experience","a","quick","get","away","."]
374	374_0	our first time in Las Vegas, Winter in Venice was a wonderful experience ,friendly people, the entertainers were fantastic ,the *elves* serving apple cider in lobby was a nice touch.	["our","first","time","in","Las","Vegas",",","Winter","in","Venice","was","a","wonderful","experience",",","friendly","people",",","the","entertainers","were","fantastic",",","the","*","elves","*","serving","apple","cider","in","lobby","was","a","nice","touch","."]
374	374_1	the decorations in the palazzo were beautiful.	["the","decorations","in","the","palazzo","were","beautiful","."]
374	374_2	There were lots of shops and restaurants.	["There","were","lots","of","shops","and","restaurants","."]
374	374_3	the casino was bright and inviting.	["the","casino","was","bright","and","inviting","."]
374	374_4	the gondola ride was relaxing.	["the","gondola","ride","was","relaxing","."]
374	374_5	the mimes were awesome.	["the","mimes","were","awesome","."]
376	376_1	Lots of choice of restaurants.	["Lots","of","choice","of","restaurants","."]
377	377_0	The casino was too light...	["The","casino","was","too","light","..."]
377	377_2	i felt as tho I was at Disney.	["i","felt","as","tho","I","was","at","Disney","."]
377	377_3	The hotel and casino and the staff were wonderful and we had a great time.	["The","hotel","and","casino","and","the","staff","were","wonderful","and","we","had","a","great","time","."]
377	377_4	We walked around other casinos and preferred the lower lighting.	["We","walked","around","other","casinos","and","preferred","the","lower","lighting","."]
377	377_5	When we returned to the Venetian the lights were very intense.	["When","we","returned","to","the","Venetian","the","lights","were","very","intense","."]
377	377_6	We are not at all opposed to children and families, it just was not their place walking around and through the casino.	["We","are","not","at","all","opposed","to","children","and","families",",","it","just","was","not","their","place","walking","around","and","through","the","casino","."]
378	378_0	The hotel is gorgeous .	["The","hotel","is","gorgeous","."]
378	378_1	The rooms with the views are worth it.	["The","rooms","with","the","views","are","worth","it","."]
378	378_2	Everyone was extremely helpful.	["Everyone","was","extremely","helpful","."]
379	379_0	great, wonderful my best experience, definitely i will back soon.	["great",",","wonderful","my","best","experience",",","definitely","i","will","back","soon","."]
381	381_0	The suite was very clean and comfortable.	["The","suite","was","very","clean","and","comfortable","."]
381	381_1	Once we notified the hotel staff that my husband's medication had to be refrigerated we were sent a complimentary refrigerator.	["Once","we","notified","the","hotel","staff","that","my","husband","'s","medication","had","to","be","refrigerated","we","were","sent","a","complimentary","refrigerator","."]
382	382_0	i enjoyed my stay until i check my account and the venetian had applied an amount of 60.38 to my credit card without informing me.	["i","enjoyed","my","stay","until","i","check","my","account","and","the","venetian","had","applied","an","amount","of","60.38","to","my","credit","card","without","informing","me","."]
382	382_1	I call to ask what the charged was for, i was informed that it was a surcharge because wireless and the spa was available to me.	["I","call","to","ask","what","the","charged","was","for",",","i","was","informed","that","it","was","a","surcharge","because","wireless","and","the","spa","was","available","to","me","."]
382	382_2	I didn't use the spa or the wireless service .	["I","did","n't","use","the","spa","or","the","wireless","service","."]
382	382_3	i should have been told this at check out.	["i","should","have","been","told","this","at","check","out","."]
382	382_4	I have stayed at the Venetian 7 times in the last 7 years and was never charged a surcharge.	["I","have","stayed","at","the","Venetian","7","times","in","the","last","7","years","and","was","never","charged","a","surcharge","."]
383	383_0	This was my 4th visit to the Venetian and i travelled with my daughter.	["This","was","my","4th","visit","to","the","Venetian","and","i","travelled","with","my","daughter","."]
383	383_1	I have always thought I was going somewhere special but this time I was very disappointed.	["I","have","always","thought","I","was","going","somewhere","special","but","this","time","I","was","very","disappointed","."]
383	383_2	We arrived Thurs evening and the place was full of hen/stag parties who were loud(mainly women), rude and disrespectful.	["We","arrived","Thurs","evening","and","the","place","was","full","of","hen","/","stag","parties","who","were","loud","(","mainly","women",")",",","rude","and","disrespectful","."]
383	383_3	The first night we had to move rooms owing to the loud music/shouting coming from next room.	["The","first","night","we","had","to","move","rooms","owing","to","the","loud","music","/","shouting","coming","from","next","room","."]
383	383_4	Second evening we were woken at 4.45am by a drunken man hammering on the door thinking it was his room!	["Second","evening","we","were","woken","at","4.45am","by","a","drunken","man","hammering","on","the","door","thinking","it","was","his","room","!"]
383	383_5	Third evening we were greeted by another drunk lying on the floor, pants round his ankles, showing us his backside!	["Third","evening","we","were","greeted","by","another","drunk","lying","on","the","floor",",","pants","round","his","ankles",",","showing","us","his","backside","!"]
383	383_6	Not really what I expected from a 5 star hotel who are charging a lot of money.	["Not","really","what","I","expected","from","a","5","star","hotel","who","are","charging","a","lot","of","money","."]
383	383_7	We did let reception know that we were disappointed and they waived the resort charge.	["We","did","let","reception","know","that","we","were","disappointed","and","they","waived","the","resort","charge","."]
383	383_8	By Monday most of the party animals had left, things settled down and we actually enjoyed our last few days.	["By","Monday","most","of","the","party","animals","had","left",",","things","settled","down","and","we","actually","enjoyed","our","last","few","days","."]
384	384_1	Our room was so nice and comfy and GRAND!	["Our","room","was","so","nice","and","comfy","and","GRAND","!"]
384	384_2	Would definitely recommend it to our friends and family!	["Would","definitely","recommend","it","to","our","friends","and","family","!"]
384	384_3	One thing to look out for is the bill!	["One","thing","to","look","out","for","is","the","bill","!"]
384	384_4	they tried to charge us for something we didn't even buy from the room or from room service!	["they","tried","to","charge","us","for","something","we","did","n't","even","buy","from","the","room","or","from","room","service","!"]
384	384_5	But if you pick that out and ask them about it then they will remove it for you.	["But","if","you","pick","that","out","and","ask","them","about","it","then","they","will","remove","it","for","you","."]
384	384_7	the Canal shoppes were just downstairs and you can be there all day if you wanted to as when we went it was really hot outside!	["the","Canal","shoppes","were","just","downstairs","and","you","can","be","there","all","day","if","you","wanted","to","as","when","we","went","it","was","really","hot","outside","!"]
385	385_0	nice hotel，clean room ，staff，casino is fancy，fair price，definitely gonna go there again	["nice","hotel",",","clean","room",",","staff",",","casino","is","fancy",",","fair","price",",","definitely","gonna","go","there","again"]
386	386_1	Location and the ambiance was very good.	["Location","and","the","ambiance","was","very","good","."]
387	387_0	Excellent spot , beautiful suites lots of great restaurants and shopping would recommend this resort and would go back there.	["Excellent","spot",",","beautiful","suites","lots","of","great","restaurants","and","shopping","would","recommend","this","resort","and","would","go","back","there","."]
387	387_1	Also great location on the strip!	["Also","great","location","on","the","strip","!"]
389	389_0	The hotel atmosphere was amazing.	["The","hotel","atmosphere","was","amazing","."]
389	389_1	The staff was helpful and considerate.	["The","staff","was","helpful","and","considerate","."]
389	389_2	I'd stay again in a heartbeat.	["I","'d","stay","again","in","a","heartbeat","."]
390	390_0	Wonderful we great food great lux was very good.	["Wonderful","we","great","food","great","lux","was","very","good","."]
390	390_1	would have liked to come home as little richer machine only gave me 3of a kind what happens to all the 4of a kind?	["would","have","liked","to","come","home","as","little","richer","machine","only","gave","me","3of","a","kind","what","happens","to","all","the","4of","a","kind","?"]
390	390_2	My husband is disabled so the moving sidewalk not working was a bummer for him	["My","husband","is","disabled","so","the","moving","sidewalk","not","working","was","a","bummer","for","him"]
391	391_0	A wonderful hotel with lots to do inside,fabulous for families.	["A","wonderful","hotel","with","lots","to","do","inside",",","fabulous","for","families","."]
391	391_1	Great restaurants and food courts.	["Great","restaurants","and","food","courts","."]
391	391_2	Staff were fantastic and made it a fantastic holiday.	["Staff","were","fantastic","and","made","it","a","fantastic","holiday","."]
392	392_0	I really loved the room and the shopping mall attached to it.	["I","really","loved","the","room","and","the","shopping","mall","attached","to","it","."]
392	392_2	we love the restaurants there too.	["we","love","the","restaurants","there","too","."]
392	392_4	we stayed in a room with a view we love every thing in it	["we","stayed","in","a","room","with","a","view","we","love","every","thing","in","it"]
396	396_1	They cater to their clients and go out of their way to make you feel special	["They","cater","to","their","clients","and","go","out","of","their","way","to","make","you","feel","special"]
397	397_0	It was a gorgeous hotel with everything you can imagine.	["It","was","a","gorgeous","hotel","with","everything","you","can","imagine","."]
397	397_1	Wherever you are walking, you feel like it is daytime and you feel fresh.	["Wherever","you","are","walking",",","you","feel","like","it","is","daytime","and","you","feel","fresh","."]
397	397_2	Artwork is stunning all around.	["Artwork","is","stunning","all","around","."]
398	398_0	Casino right downstairs and is in the middle of everything so it is a pretty easy walk to most of the other casinos	["Casino","right","downstairs","and","is","in","the","middle","of","everything","so","it","is","a","pretty","easy","walk","to","most","of","the","other","casinos"]
399	399_0	The only problem was that they only wanted to give us 2 bath towels per day.	["The","only","problem","was","that","they","only","wanted","to","give","us","2","bath","towels","per","day","."]
399	399_1	I finally had to tell them that I am paying for 4 people in this room, I want 4 clean bath towels per day, or else refund for 2 people per day for each of the 7 night.	["I","finally","had","to","tell","them","that","I","am","paying","for","4","people","in","this","room",",","I","want","4","clean","bath","towels","per","day",",","or","else","refund","for","2","people","per","day","for","each","of","the","7","night","."]
399	399_2	Then I was finally able to get 4 bath towels.	["Then","I","was","finally","able","to","get","4","bath","towels","."]
400	400_0	Very convenience, comfortable and clean	["Very","convenience",",","comfortable","and","clean"]
402	402_0	Everything about the Venetian was fantastic.	["Everything","about","the","Venetian","was","fantastic","."]
402	402_1	The staff was friendly and helpful.	["The","staff","was","friendly","and","helpful","."]
402	402_2	He restaurants were incredible.	["He","restaurants","were","incredible","."]
402	402_3	The pools were beautiful.	["The","pools","were","beautiful","."]
402	402_4	The casino was lively and fun.	["The","casino","was","lively","and","fun","."]
402	402_5	Not a single thing to complain about!	["Not","a","single","thing","to","complain","about","!"]
403	403_0	We stay in a Piazza Suite and where very pleased with both the cleanliness and service of the hotel.	["We","stay","in","a","Piazza","Suite","and","where","very","pleased","with","both","the","cleanliness","and","service","of","the","hotel","."]
404	404_0	Amazing and everything was Perfect!	["Amazing","and","everything","was","Perfect","!"]
404	404_1	Best place we've stayed.	["Best","place","we","'ve","stayed","."]
404	404_2	Will return and stay again soon.	["Will","return","and","stay","again","soon","."]
408	408_0	No words for how wonderful this stay was.	["No","words","for","how","wonderful","this","stay","was","."]
408	408_1	A perfect place for a honeymoon.	["A","perfect","place","for","a","honeymoon","."]
409	409_0	Had a great time.	["Had","a","great","time","."]
409	409_1	Give yourself plenty of time to get from place to place.	["Give","yourself","plenty","of","time","to","get","from","place","to","place","."]
409	409_2	The hotel is huge.	["The","hotel","is","huge","."]
409	409_3	We were there 4 days and still did not see it all.	["We","were","there","4","days","and","still","did","not","see","it","all","."]
409	409_4	There also is NO buffet, lots of places to eat at food courts and Top shelf restaurants.	["There","also","is","NO","buffet",",","lots","of","places","to","eat","at","food","courts","and","Top","shelf","restaurants","."]
409	409_5	Also every vendor you pass will try and get you to buy something.	["Also","every","vendor","you","pass","will","try","and","get","you","to","buy","something","."]
409	409_6	In a Class Hotel like this the management should calm it down.	["In","a","Class","Hotel","like","this","the","management","should","calm","it","down","."]
411	411_1	They need to lower betting limits in casino for table games and its really expensive for everything!	["They","need","to","lower","betting","limits","in","casino","for","table","games","and","its","really","expensive","for","everything","!"]
412	412_0	it was the grandest hotel I ever stayed.	["it","was","the","grandest","hotel","I","ever","stayed","."]
412	412_1	We enjoyed every second we were there.	["We","enjoyed","every","second","we","were","there","."]
413	413_0	Room and service were first class, recreation of Venice was excellent (having been three times to the real thing!	["Room","and","service","were","first","class",",","recreation","of","Venice","was","excellent","(","having","been","three","times","to","the","real","thing","!"]
413	413_1	) and quite tastefully done.	[")","and","quite","tastefully","done","."]
413	413_2	Staff friendly and going that extra mile.	["Staff","friendly","and","going","that","extra","mile","."]
413	413_3	Location excellent in the middle of Strip within walking distance of other attractions.	["Location","excellent","in","the","middle","of","Strip","within","walking","distance","of","other","attractions","."]
413	413_4	Mall was also beautiful with indoor recreation of Venice.	["Mall","was","also","beautiful","with","indoor","recreation","of","Venice","."]
413	413_5	Downside - everything in LV is designed to part the money from your wallet as efficiently as possible (15 minute gondola rides for $75 anyone?	["Downside","-","everything","in","LV","is","designed","to","part","the","money","from","your","wallet","as","efficiently","as","possible","(","15","minute","gondola","rides","for","75","anyone","?"]
414	414_0	This hotel made our experience traveling for first time to Vegas as a family very enjoyable.	["This","hotel","made","our","experience","traveling","for","first","time","to","Vegas","as","a","family","very","enjoyable","."]
414	414_1	Our two boys loved it.	["Our","two","boys","loved","it","."]
414	414_2	A bit pricey but as we walked into many hotels on the strip we appreciated the Venetian even more due to its cleanliness and being very fancy and elegant.	["A","bit","pricey","but","as","we","walked","into","many","hotels","on","the","strip","we","appreciated","the","Venetian","even","more","due","to","its","cleanliness","and","being","very","fancy","and","elegant","."]
414	414_3	We did not ask for much help from the staff but when we did they where very professional and willing to help.	["We","did","not","ask","for","much","help","from","the","staff","but","when","we","did","they","where","very","professional","and","willing","to","help","."]
414	414_4	From the reception area to the housekeepers who we saw in the morning that said "" hi "" and "" good morning "" to us every time.	["From","the","reception","area","to","the","housekeepers","who","we","saw","in","the","morning","that","said","''","''","hi","''","''","and","''","''","good","morning","''","''","to","us","every","time","."]
414	414_5	Room was very spacious with more than enough room for four to do what we needed.	["Room","was","very","spacious","with","more","than","enough","room","for","four","to","do","what","we","needed","."]
414	414_6	Next time we go to Las Vegas as a family or couple the Venetian will definitely be in our very short list of hotels to stay at.	["Next","time","we","go","to","Las","Vegas","as","a","family","or","couple","the","Venetian","will","definitely","be","in","our","very","short","list","of","hotels","to","stay","at","."]
415	415_0	This is a truly luxurious hotel with a grand setup.	["This","is","a","truly","luxurious","hotel","with","a","grand","setup","."]
415	415_1	The only thing to keep in mind is that it takes almost 10-15 minutes to reach your room from the lobby due to the size of this palatial hotel.	["The","only","thing","to","keep","in","mind","is","that","it","takes","almost","10-15","minutes","to","reach","your","room","from","the","lobby","due","to","the","size","of","this","palatial","hotel","."]
415	415_2	That  apart it has excellent location and very courteous staff always eager to help.	["That","apart","it","has","excellent","location","and","very","courteous","staff","always","eager","to","help","."]
416	416_0	Very nice hotel, polite staff.	["Very","nice","hotel",",","polite","staff","."]
416	416_1	escalators weren't working on various days, down kaput on 1st day, up kaput on the following day.	["escalators","were","n't","working","on","various","days",",","down","kaput","on","1st","day",",","up","kaput","on","the","following","day","."]
416	416_2	rooms were very nice (bella suite),but bed was very firm & uncomfortable.	["rooms","were","very","nice","(","bella","suite",")",",","but","bed","was","very","firm","&","uncomfortable","."]
416	416_3	distance from parking to room seemed too long.	["distance","from","parking","to","room","seemed","too","long","."]
416	416_4	nice bathroom & huge tub were great after a long day.	["nice","bathroom","&","huge","tub","were","great","after","a","long","day","."]
416	416_5	we usually stay at the hard rock hotel (queen suites), but decided for a change on this trip.	["we","usually","stay","at","the","hard","rock","hotel","(","queen","suites",")",",","but","decided","for","a","change","on","this","trip","."]
416	416_6	hrh suites are much better, parking & suites very close to each other central to everything you want/need.	["hrh","suites","are","much","better",",","parking","&","suites","very","close","to","each","other","central","to","everything","you","want","/","need","."]
418	418_0	We loved staying at the Venetian.	["We","loved","staying","at","the","Venetian","."]
418	418_2	Free room service breakfast included in our deal was a big hit for my husband.	["Free","room","service","breakfast","included","in","our","deal","was","a","big","hit","for","my","husband","."]
418	418_4	My only complaint was that the bathroom wasn't super clean...	["My","only","complaint","was","that","the","bathroom","was","n't","super","clean","..."]
418	418_6	I hate finding hairs on the floor of hotel bathrooms...	["I","hate","finding","hairs","on","the","floor","of","hotel","bathrooms","..."]
421	421_0	Really liked the hotel although it is massive!	["Really","liked","the","hotel","although","it","is","massive","!"]
421	421_1	Super location & suite.	["Super","location","&","suite","."]
421	421_2	Customer Service was also great when needed.	["Customer","Service","was","also","great","when","needed","."]
421	421_3	As ai resort hotel it even has it's own shopping mall, tons of restaurants etc. the only down side for us was the Casino, thought it could do with an update!	["As","ai","resort","hotel","it","even","has","it","'s","own","shopping","mall",",","tons","of","restaurants","etc.","the","only","down","side","for","us","was","the","Casino",",","thought","it","could","do","with","an","update","!"]
422	422_0	It was like, dream come true experience.	["It","was","like",",","dream","come","true","experience","."]
422	422_1	I would strongly recommend this to all of friends , relatives.	["I","would","strongly","recommend","this","to","all","of","friends",",","relatives","."]
422	422_3	etc. Nicely maintained with excellent amenities.	["etc.","Nicely","maintained","with","excellent","amenities","."]
423	423_1	Interior and exterior are beautiful and well taken care of.	["Interior","and","exterior","are","beautiful","and","well","taken","care","of","."]
423	423_2	Our Suite was beautiful, large and comfortable...	["Our","Suite","was","beautiful",",","large","and","comfortable","..."]
423	423_3	we would have liked to have had a microwave and refrigerator.	["we","would","have","liked","to","have","had","a","microwave","and","refrigerator","."]
423	423_4	The refrigerator in the room contained very expense items that we could purchase there wasn't any room for anything more.	["The","refrigerator","in","the","room","contained","very","expense","items","that","we","could","purchase","there","was","n't","any","room","for","anything","more","."]
423	423_5	We were very shocked that on the last two days of our 8 day stay was horrific!	["We","were","very","shocked","that","on","the","last","two","days","of","our","8","day","stay","was","horrific","!"]
423	423_6	The Hotel was over run with scantily dressed male and females.	["The","Hotel","was","over","run","with","scantily","dressed","male","and","females","."]
423	423_7	There was a kid on a skateboard in the Casino.	["There","was","a","kid","on","a","skateboard","in","the","Casino","."]
423	423_8	The worst there was a very drunk almost asleep young lady who threw up at the table next to us in a Restaurant at the Hotel!	["The","worst","there","was","a","very","drunk","almost","asleep","young","lady","who","threw","up","at","the","table","next","to","us","in","a","Restaurant","at","the","Hotel","!"]
423	423_9	I don't know what the answer is for all of this, but it is upsetting that you pay for a 5 Star Hotel in Las Vegas and wind up feeling like you are at a Hotel on the Bowery...	["I","do","n't","know","what","the","answer","is","for","all","of","this",",","but","it","is","upsetting","that","you","pay","for","a","5","Star","Hotel","in","Las","Vegas","and","wind","up","feeling","like","you","are","at","a","Hotel","on","the","Bowery","..."]
423	423_10	we were very glad we were leaving in one day...	["we","were","very","glad","we","were","leaving","in","one","day","..."]
423	423_12	Don't worry we won't be back once is enough.	["Do","n't","worry","we","wo","n't","be","back","once","is","enough","."]
424	424_0	Our first trip to Las Vegas, but we visited several of the other large resort-type hotel complexes on the strip and considered that the Venetian was the best by far.	["Our","first","trip","to","Las","Vegas",",","but","we","visited","several","of","the","other","large","resort","-","type","hotel","complexes","on","the","strip","and","considered","that","the","Venetian","was","the","best","by","far","."]
424	424_1	This was probably the smartest hotel room I've stayed in in the US.	["This","was","probably","the","smartest","hotel","room","I","'ve","stayed","in","in","the","US","."]
424	424_2	Lots of good places to eat within the complex, too - just make sure you've got a map.	["Lots","of","good","places","to","eat","within","the","complex",",","too","-","just","make","sure","you","'ve","got","a","map","."]
425	425_0	The hotel was absolutely beautiful!	["The","hotel","was","absolutely","beautiful","!"]
425	425_2	If you are looking for a clean, beautiful hotel choose this one.	["If","you","are","looking","for","a","clean",",","beautiful","hotel","choose","this","one","."]
425	425_3	The artwork on the ceilings, the many fountains inside the hotel is worth the stay at this hotel.	["The","artwork","on","the","ceilings",",","the","many","fountains","inside","the","hotel","is","worth","the","stay","at","this","hotel","."]
426	426_1	Customer service very good and genuine .	["Customer","service","very","good","and","genuine","."]
426	426_2	Our teenage daughters loved it !	["Our","teenage","daughters","loved","it","!"]
426	426_3	King size suites in the Venetian Tower stunning !	["King","size","suites","in","the","Venetian","Tower","stunning","!"]
427	427_0	The room was spacious and very comfortable.	["The","room","was","spacious","and","very","comfortable","."]
427	427_1	Unlike some hotels this one is not a tiny box.	["Unlike","some","hotels","this","one","is","not","a","tiny","box","."]
427	427_2	Even the bathroom had lots of room to move.	["Even","the","bathroom","had","lots","of","room","to","move","."]
427	427_3	All hotel staff we encountered were very friendly and helpful.	["All","hotel","staff","we","encountered","were","very","friendly","and","helpful","."]
427	427_4	Between the hotel and the shops there were plenty of restaurant options.	["Between","the","hotel","and","the","shops","there","were","plenty","of","restaurant","options","."]
427	427_5	I will definitely stay here again!	["I","will","definitely","stay","here","again","!"]
428	428_0	HOTEL SHOULD NOT CHARGE $25 ""RESORT FEE""	["HOTEL","SHOULD","NOT","CHARGE","25","''","``","RESORT","FEE","''","''"]
429	429_0	Very pleasant hotel suite - staff always appropriate and prompt to requests.	["Very","pleasant","hotel","suite","-","staff","always","appropriate","and","prompt","to","requests","."]
429	429_2	Unfortunately I would not return due to the smoke filled air in the public spaces.	["Unfortunately","I","would","not","return","due","to","the","smoke","filled","air","in","the","public","spaces","."]
429	429_3	Would chose a hotel without a casino next time (not a gambler or smoker).	["Would","chose","a","hotel","without","a","casino","next","time","(","not","a","gambler","or","smoker",")","."]
429	429_4	Also note that the pool area does not have sun until afternoon and has limited lounge chairs in the sun area.	["Also","note","that","the","pool","area","does","not","have","sun","until","afternoon","and","has","limited","lounge","chairs","in","the","sun","area","."]
430	430_0	Will definitely recommend the Venetian to friends, faultless and memorable experience	["Will","definitely","recommend","the","Venetian","to","friends",",","faultless","and","memorable","experience"]
431	431_0	Great room setting, very comfortable bed.	["Great","room","setting",",","very","comfortable","bed","."]
433	433_0	The hotel feels old, old pillows, old sheets (with holes in it), the amenities were good but they didnt give new ones (1 week lenght of stay and they didnt bring new soap and shampoo).	["The","hotel","feels","old",",","old","pillows",",","old","sheets","(","with","holes","in","it",")",",","the","amenities","were","good","but","they","didnt","give","new","ones","(","1","week","lenght","of","stay","and","they","didnt","bring","new","soap","and","shampoo",")","."]
433	433_1	There is not a single hook to hang the towels, they called to my room to ask if they can do housekeeping even that the do not disturb sign was on the door.	["There","is","not","a","single","hook","to","hang","the","towels",",","they","called","to","my","room","to","ask","if","they","can","do","housekeeping","even","that","the","do","not","disturb","sign","was","on","the","door","."]
434	434_0	Good but too big to stay Comfortable.	["Good","but","too","big","to","stay","Comfortable","."]
434	434_1	Confusing routes to guest room.	["Confusing","routes","to","guest","room","."]
434	434_2	Attention to details are required.	["Attention","to","details","are","required","."]
435	435_0	The hotel was nice but in-room amenities, cokes, snacks, etc. were very expensive.	["The","hotel","was","nice","but","in","-","room","amenities",",","cokes",",","snacks",",","etc.","were","very","expensive","."]
435	435_1	they also took up the entire refrigerator so you could not use for your own stuff.	["they","also","took","up","the","entire","refrigerator","so","you","could","not","use","for","your","own","stuff","."]
435	435_2	The ice bucket has mold on the inside of the lid.	["The","ice","bucket","has","mold","on","the","inside","of","the","lid","."]
435	435_3	I left it tuned up so the cleaning crew would clean it but it never was cleaned.	["I","left","it","tuned","up","so","the","cleaning","crew","would","clean","it","but","it","never","was","cleaned","."]
435	435_4	My biggest annoyance was all of the additional charges.	["My","biggest","annoyance","was","all","of","the","additional","charges","."]
435	435_5	I got my room through Expedia and they charged me for a for two queens vs.	["I","got","my","room","through","Expedia","and","they","charged","me","for","a","for","two","queens","vs."]
435	435_7	And of course there was the Resort Fee.	["And","of","course","there","was","the","Resort","Fee","."]
435	435_8	By the time it was all said and done, I did not get the ""deal"" I thought I was which kind of set the mood for my vacation.	["By","the","time","it","was","all","said","and","done",",","I","did","not","get","the","''","``","deal","''","''","I","thought","I","was","which","kind","of","set","the","mood","for","my","vacation","."]
436	436_1	But it you wanted gö to your room you have To walk minumum 15 minutes.	["But","it","you","wanted","go","to","your","room","you","have","To","walk","minumum","15","minutes","."]
436	436_2	Allah room to long to lobby ör other facilities	["Allah","room","to","long","to","lobby","or","other","facilities"]
437	437_0	I stayed for 4 nights and i had not housekeeping for 2 nights.	["I","stayed","for","4","nights","and","i","had","not","housekeeping","for","2","nights","."]
437	437_1	Each time when i came back to my room around 8/9 pm , i called housekeeping to come to cleanup my room.	["Each","time","when","i","came","back","to","my","room","around","8/9","pm",",","i","called","housekeeping","to","come","to","cleanup","my","room","."]
437	437_2	However, they left everything like before.	["However",",","they","left","everything","like","before","."]
437	437_3	I just had bed makeup and new towel after calling.	["I","just","had","bed","makeup","and","new","towel","after","calling","."]
438	438_0	We love to stay there and we want to go las vigas next year and stay same hotel .	["We","love","to","stay","there","and","we","want","to","go","las","vigas","next","year","and","stay","same","hotel","."]
439	439_0	The overal hotel experience was excellent, love the luxuries, cleanness, convenience of the hotel.	["The","overal","hotel","experience","was","excellent",",","love","the","luxuries",",","cleanness",",","convenience","of","the","hotel","."]
439	439_1	Very easy get around and enjoyed the relaxiation of stay.	["Very","easy","get","around","and","enjoyed","the","relaxiation","of","stay","."]
440	440_0	great hotel with large suite rooms.	["great","hotel","with","large","suite","rooms","."]
440	440_2	good selection of high quality food but a bit pricey for casual dining.	["good","selection","of","high","quality","food","but","a","bit","pricey","for","casual","dining","."]
440	440_3	pool area good pleanty of sun loungers and waited drink service.	["pool","area","good","pleanty","of","sun","loungers","and","waited","drink","service","."]
440	440_4	in general this hotel is spotless.	["in","general","this","hotel","is","spotless","."]
440	440_5	we went with our two children 8 & 9 and the pull out bed in a standard room was not wanting for space.	["we","went","with","our","two","children","8","&","9","and","the","pull","out","bed","in","a","standard","room","was","not","wanting","for","space","."]
443	443_0	great hotel at the strip.	["great","hotel","at","the","strip","."]
443	443_1	would recommend for first time travelers to Las Vegas.	["would","recommend","for","first","time","travelers","to","Las","Vegas","."]
444	444_0	The Venetian Las Vegas is probably the best hotel you can stay at The Strip.	["The","Venetian","Las","Vegas","is","probably","the","best","hotel","you","can","stay","at","The","Strip","."]
444	444_1	Great amenities, perfect location, great restaurants and of course the Grand Canal Shoppes.	["Great","amenities",",","perfect","location",",","great","restaurants","and","of","course","the","Grand","Canal","Shoppes","."]
444	444_3	We enjoyed every moment of our stay and would definitely recommend this hotel to anyone who would like to spend quality time.	["We","enjoyed","every","moment","of","our","stay","and","would","definitely","recommend","this","hotel","to","anyone","who","would","like","to","spend","quality","time","."]
446	446_1	Took us about a day to get our bearings because the hotel along with the casino and shopping together is so large.	["Took","us","about","a","day","to","get","our","bearings","because","the","hotel","along","with","the","casino","and","shopping","together","is","so","large","."]
